i,d,F(d)
496,66.87,0.11787072243346007
497,66.95,0.11810836501901141
498,66.97,0.11834600760456274
499,67.12,0.11858365019011406
500,67.23,0.1188212927756654
501,67.25,0.11905893536121673
502,67.25,0.11929657794676805
503,67.4,0.1195342205323194
504,67.43,0.11977186311787072
505,67.62,0.12000950570342206
506,68.18,0.12024714828897339
507,68.32,0.12048479087452471
508,68.32,0.12072243346007605
509,68.43,0.12096007604562738
510,68.47,0.1211977186311787
511,68.47,0.12143536121673004
512,68.52,0.12167300380228137
513,68.58,0.1219106463878327
514,68.67,0.12214828897338403
515,68.72,0.12238593155893536
516,68.8,0.12262357414448669
517,69.37,0.12286121673003803
518,69.4,0.12309885931558935
519,69.52,0.12333650190114068
520,69.6,0.12357414448669202
521,69.63,0.12381178707224334
522,69.67,0.12404942965779468
523,69.72,0.12428707224334601
524,69.82,0.12452471482889733
525,69.95,0.12476235741444867
526,70.02,0.125
527,70.12,0.12523764258555134
528,70.27,0.12547528517110265
529,70.27,0.125712927756654
530,70.28,0.12595057034220533
531,70.3,0.12618821292775664
532,70.3,0.12642585551330798
533,70.52,0.12666349809885932
534,70.53,0.12690114068441063
535,70.53,0.12713878326996197
536,70.55,0.12737642585551331
537,70.55,0.12761406844106463
538,70.68,0.12785171102661597
539,70.7,0.1280893536121673
540,70.72,0.12832699619771862
541,70.83,0.12856463878326996
542,70.93,0.1288022813688213
543,71.13,0.1290399239543726
544,71.15,0.12927756653992395
545,71.17,0.1295152091254753
546,71.18,0.12975285171102663
547,71.27,0.12999049429657794
548,71.42,0.13022813688212928
549,71.47,0.13046577946768062
550,71.47,0.13070342205323193
551,71.57,0.13094106463878327
552,71.67,0.1311787072243346
553,71.68,0.13141634980988592
554,71.78,0.13165399239543726
555,71.85,0.1318916349809886
556,71.85,0.13212927756653992
557,71.87,0.13236692015209126
558,71.95,0.1326045627376426
559,72.05,0.1328422053231939
560,72.08,0.13307984790874525
561,72.3,0.1333174904942966
562,72.32,0.1335551330798479
563,72.4,0.13379277566539924
564,72.45,0.13403041825095058
565,72.65,0.1342680608365019
566,72.67,0.13450570342205323
567,72.75,0.13474334600760457
568,72.83,0.13498098859315588
569,72.93,0.13521863117870722
570,73.02,0.13545627376425856
571,73.1,0.13569391634980987
572,73.13,0.1359315589353612
573,73.13,0.13616920152091255
574,73.3,0.13640684410646386
575,73.48,0.1366444866920152
576,73.55,0.13688212927756654
577,73.57,0.13711977186311786
578,73.62,0.1373574144486692
579,73.67,0.13759505703422054
580,73.78,0.13783269961977188
581,73.78,0.1380703422053232
582,73.78,0.13830798479087453
583,73.82,0.13854562737642587
584,74.17,0.13878326996197718
585,74.2,0.13902091254752852
586,74.22,0.13925855513307986
